,y,a
687,2014-09-14,275666
688,2014-09-15,275970
689,2014-09-16,276325
690,2014-09-17,276728
691,2014-09-18,276917
692,2014-09-19,277089
693,2014-09-20,277382
694,2014-09-21,277817
695,2014-09-22,278145
696,2014-09-23,278462
697,2014-09-24,278764
698,2014-09-25,278997
699,2014-09-26,279164
700,2014-09-27,279414
701,2014-09-28,279687
702,2014-09-29,279955
703,2014-09-30,280215
704,2014-10-01,280452
705,2014-10-02,280721
706,2014-10-03,280883
707,2014-10-04,281093
708,2014-10-05,281392
709,2014-10-06,281723
710,2014-10-07,281954
711,2014-10-08,282172
712,2014-10-09,282348
713,2014-10-10,282524
714,2014-10-11,282756
715,2014-10-12,282944
716,2014-10-13,283150
717,2014-10-14,283420
718,2014-10-15,283675
719,2014-10-16,283949
720,2014-10-17,284131
721,2014-10-18,284493
722,2014-10-19,284881
723,2014-10-20,285191
724,2014-10-21,285615
725,2014-10-22,285978
726,2014-10-23,286299
727,2014-10-24,286517
728,2014-10-25,286820
729,2014-10-26,287190
730,2014-10-27,287449
731,2014-10-28,287703
732,2014-10-29,287984
733,2014-10-30,288201
734,2014-10-31,288364
735,2014-11-01,288695
736,2014-11-02,289039
737,2014-11-03,289380
738,2014-11-04,289662
739,2014-11-05,290009
740,2014-11-06,290256
741,2014-11-07,290430
742,2014-11-08,290692
743,2014-11-09,291013
744,2014-11-10,291283
745,2014-11-11,291577
746,2014-11-12,291916
747,2014-11-13,292179
748,2014-11-14,292429
749,2014-11-15,292712
750,2014-11-16,293094
751,2014-11-17,293393
752,2014-11-18,293672
753,2014-11-19,293891
754,2014-11-20,294068
755,2014-11-21,294195
756,2014-11-22,294429
757,2014-11-23,294785
758,2014-11-24,295083
759,2014-11-25,295360
760,2014-11-26,295582
761,2014-11-27,295797
762,2014-11-28,295962
763,2014-11-29,296187
764,2014-11-30,296456
765,2014-12-01,296723
766,2014-12-02,296946
767,2014-12-03,297155
768,2014-12-04,297322
769,2014-12-05,297525
770,2014-12-06,297774
771,2014-12-07,298090
772,2014-12-08,298334
773,2014-12-09,298531
774,2014-12-10,298794
775,2014-12-11,298992
776,2014-12-12,299162
777,2014-12-13,299370
778,2014-12-14,299586
779,2014-12-15,299872
780,2014-12-16,300156
781,2014-12-17,300533
782,2014-12-18,300795
783,2014-12-19,300967
784,2014-12-20,301177
785,2014-12-21,301455
786,2014-12-22,301719
787,2014-12-23,301890
788,2014-12-24,302038
789,2014-12-25,302213
790,2014-12-26,302474
791,2014-12-27,302663
792,2014-12-28,302959
793,2014-12-29,303223
794,2014-12-30,303476
795,2014-12-31,303662
796,2015-01-01,304005
797,2015-01-02,304278
798,2015-01-03,304565
799,2015-01-04,304918
800,2015-01-05,305188
801,2015-01-06,305472
802,2015-01-07,305791
803,2015-01-08,306081
804,2015-01-09,306353
805,2015-01-10,306662
806,2015-01-11,307039
807,2015-01-12,307383
808,2015-01-13,307667
809,2015-01-14,307931
810,2015-01-15,308260
811,2015-01-16,308485
812,2015-01-17,308756
813,2015-01-18,309086
814,2015-01-19,309384
815,2015-01-20,309643
816,2015-01-21,309955
817,2015-01-22,310240
818,2015-01-23,310489
819,2015-01-24,310803
820,2015-01-25,311103
