,y,a
574,2014-05-25,320
575,2014-05-26,280
576,2014-05-27,264
577,2014-05-28,344
578,2014-05-29,281
579,2014-05-30,208
580,2014-05-31,310
581,2014-06-01,452
582,2014-06-02,364
583,2014-06-03,349
584,2014-06-04,427
585,2014-06-05,326
586,2014-06-06,318
587,2014-06-07,384
588,2014-06-08,543
589,2014-06-09,446
590,2014-06-10,599
591,2014-06-11,683
592,2014-06-12,3623
593,2014-06-13,3912
594,2014-06-14,2538
595,2014-06-15,2182
596,2014-06-16,3225
597,2014-06-17,1871
598,2014-06-18,1892
599,2014-06-19,1172
600,2014-06-20,902
601,2014-06-21,985
602,2014-06-22,1585
603,2014-06-23,1190
604,2014-06-24,1217
605,2014-06-25,819
606,2014-06-26,1373
607,2014-06-27,348
608,2014-06-28,760
609,2014-06-29,1099
610,2014-06-30,700
611,2014-07-01,1217
612,2014-07-02,528
613,2014-07-03,248
614,2014-07-04,583
615,2014-07-05,675
616,2014-07-06,389
617,2014-07-07,311
618,2014-07-08,1450
619,2014-07-09,1319
620,2014-07-10,357
621,2014-07-11,268
622,2014-07-12,431
623,2014-07-13,826
624,2014-07-14,327
625,2014-07-15,199
626,2014-07-16,162
627,2014-07-17,82
628,2014-07-18,112
629,2014-07-19,73
630,2014-07-20,220
631,2014-07-21,236
632,2014-07-22,244
633,2014-07-23,167
634,2014-07-24,213
635,2014-07-25,205
636,2014-07-26,187
637,2014-07-27,272
638,2014-07-28,298
639,2014-07-29,302
640,2014-07-30,376
641,2014-07-31,330
642,2014-08-01,264
643,2014-08-02,303
644,2014-08-03,342
645,2014-08-04,338
646,2014-08-05,333
647,2014-08-06,303
648,2014-08-07,536
649,2014-08-08,279
650,2014-08-09,264
651,2014-08-10,369
652,2014-08-11,509
653,2014-08-12,353
654,2014-08-13,403
655,2014-08-14,207
656,2014-08-15,210
657,2014-08-16,481
658,2014-08-17,450
659,2014-08-18,535
660,2014-08-19,368
661,2014-08-20,351
662,2014-08-21,283
663,2014-08-22,338
664,2014-08-23,350
665,2014-08-24,309
666,2014-08-25,404
667,2014-08-26,432
668,2014-08-27,417
669,2014-08-28,419
670,2014-08-29,296
671,2014-08-30,350
672,2014-08-31,457
673,2014-09-01,559
674,2014-09-02,462
675,2014-09-03,345
676,2014-09-04,352
677,2014-09-05,303
678,2014-09-06,288
679,2014-09-07,282
680,2014-09-08,334
681,2014-09-09,300
682,2014-09-10,229
683,2014-09-11,196
684,2014-09-12,201
685,2014-09-13,259
686,2014-09-14,352
687,2014-09-15,304
688,2014-09-16,355
689,2014-09-17,403
690,2014-09-18,189
691,2014-09-19,172
692,2014-09-20,293
693,2014-09-21,435
694,2014-09-22,328
695,2014-09-23,317
696,2014-09-24,302
697,2014-09-25,233
698,2014-09-26,167
699,2014-09-27,250
700,2014-09-28,273
701,2014-09-29,268
702,2014-09-30,260
703,2014-10-01,237
704,2014-10-02,269
705,2014-10-03,162
706,2014-10-04,210
707,2014-10-05,299
708,2014-10-06,331
709,2014-10-07,231
710,2014-10-08,218
711,2014-10-09,176
712,2014-10-10,176
713,2014-10-11,232
714,2014-10-12,188
715,2014-10-13,206
716,2014-10-14,270
717,2014-10-15,255
718,2014-10-16,274
719,2014-10-17,182
720,2014-10-18,362
721,2014-10-19,388
722,2014-10-20,310
723,2014-10-21,424
724,2014-10-22,363
725,2014-10-23,321
726,2014-10-24,218
727,2014-10-25,303
728,2014-10-26,370
729,2014-10-27,259
730,2014-10-28,254
731,2014-10-29,281
732,2014-10-30,217
733,2014-10-31,163
734,2014-11-01,331
735,2014-11-02,344
736,2014-11-03,341
737,2014-11-04,282
738,2014-11-05,347
739,2014-11-06,247
740,2014-11-07,174
741,2014-11-08,262
742,2014-11-09,321
743,2014-11-10,270
744,2014-11-11,294
